iter	Passed	Remaining
1352	1153317	7370831
1353	1154202	7370190
1354	1155087	7369541
1355	1155971	7368889
1356	1156851	7368214
1357	1157723	7367485
1358	1158614	7366876
1359	1159392	7365555
1360	1160268	7364851
1361	1161158	7364236
1362	1162049	7363628
1363	1162930	7362951
1364	1163714	7361665
1365	1164600	7361027
1366	1165485	7360375
1367	1166367	7359712
1368	1167239	7358981
1369	1168126	7358343
1370	1169019	7357744
1371	1169909	7357128
1372	1170792	7356468
1373	1171676	7355809
1374	1172559	7355144
1375	1173439	7354463
1376	1174322	7353797
1377	1175104	7352507
1378	1175987	7351842
1379	1176767	7350531
1380	1177563	7349328
1381	1178355	7348093
1382	1179244	7347471
1383	1180128	7346809
1384	1181007	7346125
1385	1181898	7345505
1386	1182689	7344268
1387	1183473	7342991
1388	1184347	7342269
1389	1185237	7341649
1390	1186024	7340394
1391	1186914	7339767
1392	1187846	7339410
1393	1188729	7338741
1394	1189619	7338118
1395	1190505	7337469
1396	1191383	7336775
1397	1192270	7336128
1398	1193054	7334853
1399	1193942	7334219
1400	1194818	7333507
1401	1195600	7332218
1402	1196482	7331544
1403	1197270	7330298
1404	1198164	7329696
1405	1199050	7329043
1406	1199840	7327811
1407	1200734	7327209
1408	1201627	7326603
1409	1202506	7325906
1410	1203297	7324678
1411	1204183	7324030
1412	1204968	7322766
1413	1205855	7322118
1414	1206744	7321482
1415	1207635	7320860
1416	1208518	7320192
1417	1209299	7318907
1418	1210190	7318286
1419	1210973	7317007
1420	1211844	7316266
1421	1212720	7315553
1422	1213608	7314914
1423	1214403	7313712
1424	1215293	7313079
1425	1216181	7312441
1426	1217059	7311737
1427	1217945	7311082
1428	1218743	7309900
1429	1219624	7309220
1430	1220512	7308575
1431	1221306	7307369
1432	1222192	7306716
1433	1223084	7306093
1434	1223957	7305361
1435	1224835	7304658
1436	1225718	7303983
1437	1226504	7302731
1438	1227290	7301484
1439	1228089	7300310
1440	1228886	7299125
1441	1229772	7298469
1442	1230563	7297252
1443	1231453	7296619
1444	1232334	7295934
1445	1233215	7295245
1446	1234094	7294545
1447	1234973	7293847
1448	1235861	7293202
1449	1236748	7292553
1450	1237537	7291321
1451	1238423	7290665
1452	1239307	7289991
1453	1240193	7289336
1454	1241091	7288746
1455	1241973	7288064
1456	1242770	7286880
1457	1243568	7285709
1458	1244454	7285050
1459	1245344	7284411
1460	1246235	7283779
1461	1247131	7283179
1462	1247919	7281945
1463	1248708	7280721
